CLUSTER_ID,RECORD_ID,PRIMARY_NAME_LAST,PRIMARY_NAME_FIRST,PRIMARY_NAME_MIDDLE,GENDER,DATE_OF_BIRTH,PASSPORT_NUMBER,PASSPORT_COUNTRY,DRIVERS_LICENSE_NUMBER,DRIVERS_LICENSE_STATE,SSN_NUMBER,SSN_LAST4,NATIONAL_ID_NUMBER,NATIONAL_ID_COUNTRY,HOME_ADDR_LINE1,HOME_ADDR_CITY,HOME_ADDR_STATE,HOME_ADDR_POSTAL_CODE,HOME_ADDR_COUNTRY,HOME_PHONE_NUMBER,CELL_PHONE_NUMBER,EMAIL_ADDRESS
TI-1000-1,1001,Smith,Robert,,,12/11/78,,,,,,,,,"123 Main Street, Las Vegas NV 89132",,,,,702-919-1300,,bsmith@work.com
TI-1000-1,1002,Smith,Bob,,,11/12/78,,,,,,,,,1515 Adela Lane,Las Vegas,NV,89111,,,702-919-1300,
TI-1000-1,1003,Smith,Bob,J,,12/11/78,,,,,,,,,,,,,,,,bsmith@work.com
TI-1000-1,1004,Smith,B,,,,,,,,,,,,1515 Adela Ln,Las Vegas,NV,89132,,,,bsmith@work.com
TI-1000-1,1005,Smith,Rob,E,,,,,112233,NV,,,,,123 E Main St,Henderson,NV,89132,,,,
TI-1015-1,1009,Kusha,Edward,,,3/1/70,,,,,294-66-9999,,,,1304 Poppy Hills Dr,Blacklick,OH,43004,,,,Kusha123@hmail.com
TI-1015-1,1010,Kusha,Eddie,,,Mar 1 1970,,,,,,,,,1304 Poppy Hills Dr,Blacklick,OHIO,,,,,
TI-1015-2,1011,Knight,Jed,,,3/1/70,,,,,,,,,1602 Brenville Pl,San Francisco,CA,94105,,,,
TI-1015-3,1015,Kusha,Mary,,,10/27/76,,,,,293-90-9090,,,,1304 Poppy Hills Dr,Blacklick,OH,43004,,512-353-8633,,Kusha123@hmail.com
TI-1015-3,1016,Kusha,Marie,,,10/27/76,,,,,,,,,1304 Poppy Hills Dr,,,43004,,,,
TI-1015-3,1017,Kusha,Mary,,,,,,,,293-90-9090,,,,,,,,,,,
TI-1015-3,1018,Kusha,Marie,,,10/28/76,,,,,,,,,,,,,,512-353-8633,,
TI-1015-4,1019,Kusha,Mark,,,9/28/97,,,,,,,,,1304 Poppy Hills Dr,Blacklick,OH,43004,,,,Kusha123@hmail.com
TI-1015-5,1020,Kusha,Marsha,,,9/28/97,,,,,201-77-7719,,,,1304 Poppy Hills Dr,Blacklick,OH,43004,,,,Kusha123@hmail.com
TI-1017-1,1022,Antoun,Mohamed,,,1/7/80,,,,,,,,,,,,,,,,
TI-1017-1,1023,Antoun,Muhammed,,,1/7/80,,,,,,,,,,,,,,,,
TI-1017-2,1025,Anderson,Darla,,,1/7/80,,,,,,,,,,,,,,,,
TI-1017-3,1026,Anderson,Darlene,,,1/7/80,,,,,,,,,,,,,,,,
TI-1020-1,1028,Dobbins Jr,David,,,,,,,,,,,,1450 N City Rd Suite 900,Arlington,VA,23208,,,,
TI-1021-1,1030,Garski,Luis,,,3/25/89,,,,,,,,,445 Overpass Rd,San Ramon,CA,927230000,,,,
TI-1021-1,1031,Garsky,Louis,,,3/25/89,,,,,,,,,445 Overpass Rd San Ramon,,,,,,,
TI-1022-1,1032,Shaw,Daniella,,,20/8/1991,,,,,,,,,,,,,,202-321-3212,,
TI-1022-1,1033,Daniella,Shaw,,,8/20/91,,,,,,,,,80 Delaware Ave SE Washington DC 40040,,,,,321-3212,,
TI-1023-1,1034,Medina Sentosa,Maria Luis,,,11/21/73,,,,,,,,,"9304 W. 15th St La Blanca, FL 60527",,,,,,,Maria Sentosa<msentosa@fmail.com>
TI-1023-1,1035,M Sentosa,Maria Luis,,,11/12/73,,,,,,,,,"9304 W. 15th St La Blanca, FL 60527",,,,,,,
TI-1023-1,1036,Sentosa,Maria Luis,,,11/12/73,,,,,,,,,"9304 W. 15th St La Blanca, FL 60527",,,,,,,
TI-1024-1,1039,Smith,John,,M,10/10/70,,,,,,,,,"3212 W. 32nd St Palm Harbor, FL 60527",,,,,,,
TI-1024-2,1040,Smith,John,,,3/15/90,,,,,,,,,"3212 W. 32nd St Palm Harbor, FL 60527",,,,,,,
TI-1025-1,1043,Smith,Patrick,,,10/10/70,10251111,US,,,,,,,"3212 W. 32nd St Palm Harbor, FL 60527",,,,,,,
TI-1025-2,1044,Smith,Patricia,,,3/15/90,10252222,US,,,,,,,"3212 W. 32nd St Palm Harbor, FL 60527",,,,,,,
TI-1025-1,1045,Smith,Pat,,,,10251111,,,,,,,,"3212 W. 32nd St Palm Harbor, FL 60527",,,,,,,
TI-1025-2,1046,Smith,Pat,,,,10252222,USA,,,,,,,"3212 W. 32nd St Palm Harbor, FL 60527",,,,,,,
TI-1027-1,1047,Thompson,Zara,,,,,,,,,,,,,,,,,,,sthomp45@fmail.com
TI-1027-1,1048,Tompson,Sarah,,,,,,,,,,,,,,,,,,,sthomp45@fmail.com
TI-1027-1,1049,Thompson,Sahra,,,,,,,,,,,,,,,,,,,sthomp45@fmail.com
TI-1028-1,1050,Toulouse,Lee,,,2/1/85,483290175,USA,,,,,,,,,,,,,,
TI-1028-1,1051,Toulouse,Leigh,,,1/2/85,483290175,US,,,,,,,,,,,,,,
TI-1028-1,1052,Toulouse,Lea,,,,483290175,US,,,,,,,,,,,,,,
TI-1029-1,1053,Smith,Beau,,,,72129291,CA,,,,,,,"6371 E Foothill Dr, Orroville, CA",,,,,,,
TI-1029-2,1054,Smith,Magdalena,,,24-May-11,,,93939211,CA,,,,,"6371 E Foothill Dr, Orroville, CA 95915",,,,,,,
TI-1029-1,1055,,Beau,,,,72129291,CAN,,,,,,,"6371 E Foothill Dr, 95915",,,,,,,
TI-1029-2,1056,Jones,Magdalena,,,5/24/11,,,93939211,CA,,,,,"6371 E Foothill Dr, Orroville, CA",,,,,,,
TI-1030-1,1057,Jones,Jay,,,,,,,,,,,,,,,,,,,jjones@jones.com
TI-1030-2,1058,Jay,Jones,,,,,,,,,,,,,,,,,,,"""Jay Jones"" <jjones@fmail.com>"
TI-1031-1,1059,Roderick,Ray,,,,,,,,,,,,,,,,,971-421-8250,,
TI-1031-1,1060,Roderick,R,,,,,,,,,,,,,,,,,9714218250,,
TI-1031-2,1061,Andreason,,,,,,,,,,,,,,,,,,,(807) 422-9031,
TI-1031-2,1062,Andreason,,,,,,,,,,,,,,,,,,807-422-9031,,
TI-1032-1,1063,Mooney,Susan,,,6/15/98,,,,,,,,,,,,,,,,
TI-1032-1,1064,Mooney,Susanne,,,6/15/98,1231345345,US,,,,,,,,,,,,,,
TI-1032-1,1065,Mooney,Susan,,,,1231345345,US,8923322,OR,,,,,,,,,,,,
TI-1032-1,1066,Mooney,Susan,,,,,,8923322,OR,521-21-2123,,,,,,,,,,,
TI-1032-1,1067,Moonie,Susan,,,,,,,,521212123,,,,"638 Downey St, Salem, OR",,,,,,,
TI-1032-1,1068,Moony,Susan,,,,,,,,,,,,"Adventura Aparments 638 Downey St, Salem, OR",,,,,,,
TI-2003-1,1069,王杰,,,M,9/14/93,,,,,,,832721,,12 Constitution Street,,,,,,,
TI-2003-1,1070,Wang,Jie,,Male,9/14/93,,,,,,,832721,Hong Kong,12 Constitution Street,,,,,,,
TI-2003-2,1071,王伟,,,F,9/14/97,,,,,,,7123833,China,"169 3rd Ave. Camden, NJ 08030",,,,,,,
TI-2003-2,1072,Wang,Wei,,Female,9/14/97,,,,,,,7123833,China,"169 3rd Ave. Camden, NJ 08030",,,,,,,
TI-2003-3,1073,张伟,,,M,8/2/06,,,,,,,,,"173 John Lane, Camden, NJ 08030",,,,,,,
